都道府県,西暦,人口,,,,
愛媛県,2022,"1,306,000",,,,
高知県,2022,"676,000",,,,
福岡県,2022,"5,116,000",,,,
佐賀県,2022,"801,000",,,,
長崎県,2022,"1,283,000",,,,
熊本県,2022,"1,718,000",,,,
大分県,2022,"1,107,000",,,,
宮崎県,2022,"1,052,000",,,,
鹿児島県,2022,"1,563,000",,,,
沖縄県,2022,"1,468,000",,,,
全国,2023,"124,352,000",,,,
北海道,2023,"5,092,000",,,,
青森県,2023,"1,184,000",,,,
岩手県,2023,"1,163,000",,,,
宮城県,2023,"2,264,000",,,,
秋田県,2023,"914,000",,,,
山形県,2023,"1,026,000",,,,
福島県,2023,"1,767,000",,,,
茨城県,2023,"2,825,000",,,,
栃木県,2023,"1,897,000",,,,
群馬県,2023,"1,902,000",,,,
埼玉県,2023,"7,331,000",,,,
千葉県,2023,"6,257,000",,,,
東京都,2023,"14,086,000",,,,
神奈川県,2023,"9,229,000",,,,
新潟県,2023,"2,126,000",,,,
富山県,2023,"1,007,000",,,,
石川県,2023,"1,109,000",,,,
福井県,2023,"744,000",,,,
山梨県,2023,"796,000",,,,
長野県,2023,"2,004,000",,,,
岐阜県,2023,"1,931,000",,,,
静岡県,2023,"3,555,000",,,,
愛知県,2023,"7,477,000",,,,
三重県,2023,"1,727,000",,,,
滋賀県,2023,"1,407,000",,,,
京都府,2023,"2,535,000",,,,
大阪府,2023,"8,763,000",,,,
兵庫県,2023,"5,370,000",,,,
奈良県,2023,"1,296,000",,,,
和歌山県,2023,"892,000",,,,
鳥取県,2023,"537,000",,,,
島根県,2023,"650,000",,,,
岡山県,2023,"1,847,000",,,,
広島県,2023,"2,738,000",,,,
山口県,2023,"1,298,000",,,,
徳島県,2023,"695,000",,,,
香川県,2023,"926,000",,,,
愛媛県,2023,"1,291,000",,,,
高知県,2023,"666,000",,,,
福岡県,2023,"5,103,000",,,,
佐賀県,2023,"795,000",,,,
長崎県,2023,"1,267,000",,,,
熊本県,2023,"1,709,000",,,,
大分県,2023,"1,096,000",,,,
宮崎県,2023,"1,042,000",,,,
鹿児島県,2023,"1,549,000",,,,
沖縄県,2023,"1,468,000",,,,
全国,2024,"123,802,000",,,,
北海道,2024,"5,043,000",,,,
青森県,2024,"1,165,000",,,,
岩手県,2024,"1,145,000",,,,
宮城県,2024,"2,248,000",,,,
秋田県,2024,"897,000",,,,
山形県,2024,"1,011,000",,,,
福島県,2024,"1,743,000",,,,
茨城県,2024,"2,806,000",,,,
栃木県,2024,"1,885,000",,,,
群馬県,2024,"1,890,000",,,,
埼玉県,2024,"7,332,000",,,,
千葉県,2024,"6,251,000",,,,
東京都,2024,"14,178,000",,,,
神奈川県,2024,"9,225,000",,,,
